Code,PlantCode,LongName,LastUpdate,UserUpdate,CreateDate,UserCreate,CheckerAutoConfirm,MainName,SlotName,MainCode,SlotCode
PL20100001,COM20060001,ลานจ่าย 1 ช่องจ่าย 1 (CPAC),08/11/2023 14:50:41,Administrator ,29/11/2020 15:40:43,System,Y,ลานจ่าย 1,ช่องจ่าย 1,1,1
PL20100002,COM20060001,ลานจ่าย 1 ช่องจ่าย 2 (CPAC),08/11/2023 14:51:04,Administrator ,29/11/2020 15:40:43,System,Y,ลานจ่าย 1,ช่องจ่าย 2,1,2
PL20100003,COM20060001,ลานจ่าย 1 ช่องจ่าย 3 (CPAC),08/11/2023 14:51:18,Administrator ,29/11/2020 15:40:43,System,Y,ลานจ่าย 1,ช่องจ่าย 3,1,3
PL20100004,COM20060001,ลานจ่าย 2 ช่องจ่าย 1 (Prestige),11/06/2024 14:32:31,Administrator ,29/11/2020 15:40:43,System,Y,ลานจ่าย 2,ช่องจ่าย 1,2,1
PL20100005,COM20060001,ลานจ่าย 2 ช่องจ่าย 2 (Prestige),11/06/2024 14:32:47,Administrator ,29/11/2020 15:40:43,System,Y,ลานจ่าย 2,ช่องจ่าย 2,2,2
PL20100006,COM20060001,ลานจ่าย 2 ช่องจ่าย 3 (Prestige),11/06/2024 14:32:56,Administrator ,29/11/2020 15:40:43,System,Y,ลานจ่าย 2,ช่องจ่าย 3,2,3
PL20100007,COM20070001,ลานจ่าย 1 ช่องจ่าย 1 (CPAC),29/11/2020 15:40:43,System,29/11/2020 15:40:43,System,NULL,,,,
PL20100008,COM20070001,ลานจ่าย 1 ช่องจ่าย 2 (CPAC),29/11/2020 15:40:43,System,29/11/2020 15:40:43,System,NULL,,,,
PL20100009,COM20070001,ลานจ่าย 1 ช่องจ่าย 3 (CPAC),29/11/2020 15:40:43,System,29/11/2020 15:40:43,System,NULL,,,,
PL20100010,COM20070001,ลานจ่าย 2 ช่องจ่าย 1 (Prestige),11/06/2024 14:52:06,Administrator ,29/11/2020 15:40:43,System,N,,,,
